ID,Name,Position,Company,Industry,Location,Company Size,Category,Price Range,Timeline,Review Summary,Rating,Review Date,Data Source
488,Heshow Abdollah,E-Commerce Manager,JDS DIY,Retail,United Kingdom,11-50 Employees,E-Commerce Development,"Less than $10,000",Nov. 2021 - Ongoing,Capital Numbers was hired to revamp the WooCommerce website of a DIY and homeware products retailer. They've customized the design and layout of the site and added new features.,5,,Clutch
489,Adrian Pritchard,Founding Partner,Brand Grenade,Advertising & marketing,Australia,11-50 Employees,Custom Software Development,"$10,000 to $49,999",May - Nov. 2021,Capital Numbers is building a SaaS platform for an advertising agency. Their goal is too create a unique workflow and workspace that promotes collaboration and contribution.,5,,Clutch
490,Silvia P.,Owner,Job Hunting Platform,Other Industry,Austria,1-10 Employees,"Web Design, Web Development","Less than $10,000",Dec. 2020 - Ongoing,Capital Numbers is developing a job listings website that was started by another vendor. They are building tools based on the client’s ideas using Laravel. They are also improving the site’s design.,5,,Clutch
491,Alex Watson,Head of Web Development,Get Tools Direct,Retail,Australia,11-50 Employees,E-Commerce Development,"Less than $10,000",Dec. 2020 - Jan. 2021,A hardware retailer hired Capital Numbers to develop and add more features to their e-commerce website. The client wanted to expand their online category merchandising pages.,5,,Clutch
492,Ryan Davies,Managing DIrector,Like Media Group,Media,United Kingdom,11-50 Employees,Mobile App Development,"Less than $10,000",Apr. - June 2020,Capital Numbers developed a mobile app for a multi-media company. The team provided backend development services and integrated third-party APIs.,5,,Clutch
493,John N.,Director,Huubid,Real estate,United Kingdom,1-10 Employees,"Mobile App Development, Web Development","$50,000 to $199,999",Mar. 2019 - Ongoing,Capital Numbers developed a WordPress website using PHP for an online property listing platform. The team produced bespoke code.,5,,Clutch
494,Ryan Gallace,Managing Director,Green Lettings,Real estate,United Kingdom,1-10 Employees,Web Development,Confidential,Feb. - Apr. 2020,Capital Numbers created the website of an environmental housing agency. They handled everything from design to development.,5,,Clutch
495,Steven Dornonville De La Cour,Owner,Marketing & Entrepreneurship Company,Advertising & marketing,South Africa,1-10 Employees,Custom Software Development,"$50,000 to $199,999",Oct. 2019 - Dec. 2020,Capital Numbers developed and designed software for a marketing and entrepreneurship company. The team built and provided UI designs for the platform.,5,,Clutch
496,Richard Harper,Director,Fifty Blue Marketing,Advertising & marketing,United Kingdom,1-10 Employees,Web Development,"Less than $10,000",Aug. 2019 - Ongoing,Capital Numbers developed a custom WordPress site on behalf of a marketing agency. The team integrated Woocommerce into the site and went on to provide server migration services.,5,,Clutch
497,Melanie Grimes,SEO,Agent b,Advertising & marketing,United Kingdom,1-10 Employees,Web Design,"Less than $10,000",Aug. - Sep. 2019,"Captial Numbers developed a custom website for a third-party client, creating an easy-to-use admin site for the internal staff. They also offered insights into potential issues and took preventative measures.",5,,Clutch
498,Norabeth Duignan,Operations & Brand Manager,Natur House,Wellness & Fitness,Ireland,11-50 Employees,Other Design,"Less than $10,000",June - Aug. 2019,"Capital Numbers rebranded a health and wellness brand to improve its messaging. This included creating marketing collateral such as posters, meal plans, customer infographics, social media graphics, and more.",5,,Clutch
499,Daniel Witney,Managing Director,Imperium Management,"Arts, entertainment & music",United Kingdom,1-10 Employees,Web Development,Confidential,Jan. - June 2019,"To offer young performers a new way to sign up for a talent agency, Capital Numbers developed a website for the organization. They created different types of web pages for use by members.",5,,Clutch
500,Michael Pressey,Website Administrator,My Korean Kitchen,"Arts, entertainment & music",Australia,1-10 Employees,Web Development,"Less than $10,000",Feb. - May 2019,Capital Numbers redeveloped a website using the GeneratePress theme following design specifications. They worked with updated code and improved the UX and loading speed.,5,,Clutch
501,Vincent Bryan,Director,V Bryan Ltd,Other Industry,United Kingdom,1-10 Employees,Web Design,"Less than $10,000",Jan. 2018 - Ongoing,Capital Numbers created a website based on specifications and a brief. They presented screenshots for iterations and feedback.,4,,Clutch
502,Marlon G,Associate,Lancier,Consulting,Germany,1-10 Employees,Web Development,Confidential,Jan. 2024 - Feb. 2025,Capital Numbers developed a website for a consulting firm. The team was responsible for programming the site's backend.,5,,Clutch
503,Ali,Manager,"Shaoxing Novi Textile Import-Export Co.,Ltd",Manufacturing,China,11-50 Employees,"E-Commerce Development, Web Design, Web Development","Less than $10,000",Sep. 2024 - Jan. 2025,"Capital Numbers designed and developed a B2B wholesale lead generation website for a fabric exporting company. The team implemented a purchasing process, product pages, and inquiry forms.",5,,Clutch
504,Mark Butterfield,Founder,oortcloud LTD,Information technology,United Kingdom,1-10 Employees,AI Development,Confidential,May - Oct. 2024,Capital Numbers developed an AI automation tool for a work automation technology company. The team created a tool that could deliver knowledge insights to users.,5,,Clutch
505,Antoine Borg,Owner & Researcher,Genealogical Research Firm,Publishing,Czech Republic,1-10 Employees,Custom Software Development,"Less than $10,000",June - Sep. 2024,Capital Numbers developed a WordPress plugin for a genealogical research firm. The plugin was designed to represent genealogical data graphically.,5,,Clutch
506,Marigold Beaver,Director of Digital Solutions,Atiresh Ltd,Consulting,United Kingdom,1-10 Employees,"Application Management & Support, Custom Software Development, Mobile App Development",Confidential,Dec. 2023 - Ongoing,Capital Numbers has developed a golden thread management consultancy's web app for high-rise building residents that aligns with the latest UK legislation. The team also provides web app maintenance.,5,,Clutch
507,Mustafa Tubaileh,Head of Tech,Global Ventures LTD,Consulting,United Arab Emirates,11-50 Employees,Web Development,"Less than $10,000",45444,Capital Numbers provided web development services for a social enterprise consultancy. The team assisted the client in resolving technical issues related to two of their projects.,4.5,,Clutch
508,Sanjay Dhinsa,Founder,We Service Boilers Ltd,Construction,United Kingdom,1-10 Employees,Web Development,"Less than $10,000",July 2023 - Mar. 2024,A boiler repair company hired Capital Numbers to develop a WordPress website for booking services. The team built the site based on the client's designs.,5,,Clutch
509,Martin Soerensen,Director,Property Excellence - Thailand,Real estate,Thailand,1-10 Employees,"Application Management & Support, Application Testing, Web Development","$10,000 to $49,999",Jan. 2023 - Ongoing,Capital Numbers improves the overall functionality of a real estate brokerage's website. The team has created a detailed plan for all objectives before the development process.,5,,Clutch
510,José Soler Nitschke,CEO,R&B Poker Limited,Other Industry,United Kingdom,1-10 Employees,"Web Design, Web Development",Confidential,June - Dec. 2023,"Capital Numbers designed and developed a website for a poker education company. Capital Numbers designed all the website's pages, converted them to HTML, and built the site's functionalities.",5,,Clutch
511,Yevheniia Shukan,СЕО,GREAT INVESTMENT ASSETS AG,Financial services,Switzerland,1-10 Employees,Web Development,"$10,000 to $49,999",Aug. - Oct. 2023,Capital Numbers developed a website for an investment management company. The website included a fundraising personal account for investors to monitor and organize their investment process.,5,,Clutch
512,David Johnston,Developer,Production Software Company,Software,Ireland,1-10 Employees,"Custom Software Development, Web Development",Confidential,June 2023 - Ongoing,"A production software company has hired Capital Numbers to enhance two existing websites and improve their functionality and UX. The project involves the creation of users, permissions, and Stripe integration.",4.5,,Clutch
513,Mike Ncube,Director,Ncube Digital Ltd,Advertising & marketing,United Kingdom,1-10 Employees,Web Development,"Less than $10,000",Feb. - June 2023,Capital Numbers built a new website for a digital marketing expert to showcase their busiess.,5,,Clutch
514,Thomas Iovine,Owner,Software Company,IT Services,Germany,1-10 Employees,"Custom Software Development, IT Managed Services, IT Staff Augmentation","$10,000 to $49,999",Apr. - June 2022,Capital Numbers augmented a development team to create two mobile apps and a cloud-based backend for a software company.,4.5,,Clutch
515,Harry Hely-Hutchinson,Founder & CEO,Selva,Environmental Services,United Kingdom,1-10 Employees,Web Development,"Less than $10,000",Mar. 2022 - Ongoing,Capital Numbers has provided frontend web development services to a B2C reforestation platform. A project manager and a developer have teamed up with the company to execute the project.,5,,Clutch
516,Margaret Webster,Director,Pagster Ltd,Consulting,United Kingdom,1-10 Employees,Web Development,"Less than $10,000",Dec. 2021 - Jan. 2022,Capital Numbers helped a consulting company build their new WordPress website within an aggressive deadline. They mainly worked on the design and backend features of the site.,5,,Clutch
517,Mark Zavagno,Group Digital Manager,Stoneacre Motor Group,Automotive,United Kingdom,"1,001-5,000 Employees",Web Development,"$10,000 to $49,999",Jan. 2021 - Ongoing,Capital Numbers is developing an automotive purchasing site for an automotive company. The team works in two-week sprints and conducts code reviews after each sprint.,5,,Clutch
518,Nick Stockbridge,Director,Transmedia Communications Ltd,IT Services,United Kingdom,1-10 Employees,UX/UI Design,"Less than $10,000",Mar. - Apr. 2021,"A software company hired Capital Numbers to design the UI/UX of their survey app. The team provided three different themes, which included different colors and object sizes, for the client to choose from.",5,,Clutch
519,Alex Mutambudzi,Founder,Global Fertility Platform,Information technology,United Kingdom,1-10 Employees,Mobile App Development,"Less than $10,000",June - Jan. 2020,"Capital Numbers developed a cross-platform mobile application for a global fertility platform. They implemented a forum, enabled featured to collect patient data, and worked on privacy and security as well.",5,,Clutch
520,Rupert Wallace,Founder,HMOhub,Real estate,United Kingdom,1-10 Employees,Web Development,"$10,000 to $49,999",Sep. 2019 - May 2020,"Capital Numbers took on a web development project for a real estate company. They were mainly tasked with refining frontend processes, particularly revamping the interface and increasing user functionality.",5,,Clutch
521,Marcello Rongione,CEO,WeOptimize Ltd,Financial services,Sweden,1-10 Employees,Web Development,"$10,000 to $49,999",Oct. - Nov. 2019,Capital Numbers developed a website for a financial website development company. The team optimized the website and created a streamlined design.,5,,Clutch
522,Kalil Rodrigues,Strategy & Business Architecture Leader,Eve Air Mobility,Other industries,Brazil,51-200 Employees,"AI Consulting, Corporate Training & Coaching","$10,000 to $49,999",Feb. 2024 - Ongoing,Zallpy Digital offers AI education and consulting for an aviation components manufacturer. The team has conducted a workshop for the client's team about the use of AI technology for their business.,5,,Clutch
523,Vinicius Sousa,Specialist,John Deere,Agriculture,Brazil,201-500 Employees,ERP Consulting and SI,"$10,000 to $49,999",Aug. 2025 - Jan. 2026,"Zallpy Digital provides ERP consulting for a forestry equipment company. The team is responsible for updating and correcting the client's IFS reports, as well as creating new reports.",4.5,,Clutch
524,Diego Mesquita,Project Consultant,TK Elevator,Engineering,Brazil,"5,001-10,000 Employees",Custom Software Development,"$1,000,000 to $9,999,999",Jan. 2023 - Jan. 2030,"Zallpy Digital has developed a centralized solutions channel for an elevator manufacturer. The team has added finance, installation, logistics, and indicator management to the modules.",5,,Clutch
525,Mohammed Alfaisal,Co-Founder & Chairman,Clinicy,IT Services,Saudi Arabia,11-50 Employees,Mobile App Development,"$10,000 to $49,999",Dec. 2024 - May 2025,CoreDron Solutions PVT LTD implemented telemedicine features into a healthcare software company's mobile app. The team was responsible for developing a communication module and custom dashboards.,5,,Clutch
526,Mustafa Furkan Ors,Co-Founder & CEO,Cerebrum Tech,Software,T�rkiye,51-200 Employees,"Custom Software Development, Generative AI","$10,000 to $49,999",May - Oct. 2024,Quytech developed an AI-based avatar creation platform for a digital transformation solutions company. The platform needed to allow users to generate avatars from photos or text prompts and offer customization.,5,,Clutch
527,Mustafa Furkan Ors,Co-Founder & CEO,Cerebrum Tech,Software,T�rkiye,51-200 Employees,"Custom Software Development, Generative AI","$10,000 to $49,999",May - Oct. 2024,Quytech developed an AI-based avatar creation platform for a digital transformation solutions company. The platform needed to allow users to generate avatars from photos or text prompts and offer customization.,5,,Clutch
528,Mohammed Elhorishy,Co-Founder & CEO,Taager,eCommerce,Egypt,"501-1,000 Employees",AI Development,"$10,000 to $49,999",Mar. - Aug. 2024,"Quytech developed AI agents for an e-commerce company. The team created AI-powered shopping assistants, built autonomous customer support systems, and integrated them into e-commerce platforms.",5,,Clutch
529,Nasr Jairoudi,General Manager,Alfardan Premier Motors Company,Manufacturing,Qatar,201-500 Employees,AI Development,"$10,000 to $49,999",Feb. - July 2023,"Quytech developed an AI-powered car damage detection software for a luxury vehicle retailer. The team built a mobile and web-based system, a backend dashboard for staff, and a self-check module for customers.",5,,Clutch
530,Michele Tarnow,CEO,Alliance Care Technologies,Healthcare,United Arab Emirates,1-10 Employees,Mobile App Development,"$10,000 to $49,999",Jan. - July 2024,"Quytech developed a mobile app for a healthcare technology company. The app featured patient and doctor portals, telemedicine capabilities, appointment scheduling, EHR integration, and chatbot functionality.",5,,Clutch
531,Piotr Orzechowski,CEO,Infermedica,Healthcare,Poland,201-500 Employees,"Mobile App Development, UX/UI Design","$50,000 to $199,999",Feb. - Sep. 2024,Phenomenon Studio was hired to rebuild a healthcare application for a health tech company. The team was responsible for the app's UX/UI design and worked closely with the client's internal team.,5,,Clutch
532,Olivier Debeugny,Founder & CEO,Lingua Custodia,Information technology,France,11-50 Employees,AI Development,"$10,000 to $49,999",July - Dec. 2022,A fintech company hired Quytech to design and develop advanced AI models tailored to financial NLP use cases. The team built scalable and secure infrastructure for model deployment and API integration.,5,,Clutch
533,Robert Franks,CEO,Kick Game,Retail,United Kingdom,51-200 Employees,Mobile App Development,Confidential,July 2022 - Sep. 2023,"Quytech developed iOS and Android apps for a retail services company. The team used Magento to build an online marketplace, enabling the end customers to shop, buy products, and monitor their orders.",5,,Clutch
534,Paul Boughtwood,Director,AIRPA,Software,United Kingdom,1-10 Employees,"Application Testing, Mobile App Development","$10,000 to $49,999",Mar. 2023 - Ongoing,Quytech has developed a mobile app for a business software company. The team has built the app's features and functionalities and handled QA and testing to improve the client's processes.,5,,Clutch
535,Kenny Mitchell,Co-Founder & CTO,3FINERY LTD,Software,United Kingdom,1-10 Employees,"Blockchain, IT Staff Augmentation","$10,000 to $49,999",June 2023 - July 2024,An AR solutions company hired Quytech to develop smart contracts for an end client's platform. The team was responsible for the project's technical components based on the client's requirements.,5,,Clutch
536,Johann Du Toit,CEO,Wink Reports,Software,Australia,1-10 Employees,"Application Testing, UX/UI Design, Web Development",Confidential,Feb. 2023 - Ongoing,SoftKraft has redesigned the UI/UX for a SaaS company's app. The team has also implemented the frontend and supported user testing.,5,,Clutch
537,Scott Stalbow,Managing Director,SOS Marketing,Advertising & marketing,United Kingdom,1-10 Employees,"AI Development, Generative AI","$50,000 to $199,999",Aug. - Dec. 2024,SoftGrid Computers developed six POC prototypes for specialized generative AI solutions for a marketing agency. The project aimed to provide access to advanced solutions to enhance efficiency and productivity.,5,,Clutch
538,David Nazar,Founder & Partner,Ironshield Capital Management LLP,Financial services,United Kingdom,11-50 Employees,"Blockchain, Custom Software Development","$50,000 to $199,999",Mar. - Sep. 2024,"Quytech developed a decentralized exchange platform for an investment management company. The team implemented an automated market maker, a liquidity aggregator, a cross-chain bridge, and trading tools.",5,,Clutch
539,Christopher Mosses,CEO,Manao Software,Software,Thailand,51-200 Employees,"AI Development, Mobile App Development","Less than $10,000",July 2023 - June 2024,"Quytech developed a mobile app for a software development company. The team designed a feature-rich app with user registration, payment integration, and an eye-catching UI with solid security features.",5,,Clutch
540,Arthur Kater,Director,PlazaLOGIC,Software,Taiwan,1-10 Employees,"Blockchain, Custom Software Development","Less than $10,000",Jan. - Aug. 2024,Quytech provided custom software development services for a software company's end client. The team was responsible for developing technical components and smart contracts.,5,,Clutch
541,Petros Solomou,Director,Ebiz Experts FZE,Software,United Arab Emirates,1-10 Employees,"Custom Software Development, Web Development","Less than $10,000",Jan. 2023 - Ongoing,Alita Infotech provides custom software development services for a development and e-commerce consultancy. The team is responsible for building custom integrations between Shopify and various marketplaces.,5,,Clutch
542,Gisle Jentoft,CEO,SuperOfffice,Software,Norway,201-500 Employees,"AI Development, Mobile App Development","$10,000 to $49,999",July 2022 - Ongoing,"A CRM solutions company has hired Quytech to develop a mobile app. The team's tasks include designing the UI, implementing features, integrating the app with the client's existing systems, testing, and QA.",5,,Clutch
543,Marija Grujovic,General Manager,Instant Factoring,Financial services,Romania,11-50 Employees,CRM Consulting and SI,"$200,000 to $999,999",Mar. 2023 - Ongoing,"Quytech has developed and designed a CRM system for a fintech company. The team has also integrated features into the system such as lead tracking, sales management, customer service, and reporting.",5,,Clutch
544,Fabian Siegel,Founder & CEO,Marley Spoon,Food & Beverages,Germany,11-50 Employees,Mobile App Development,"$200,000 to $999,999",Jan. - June 2023,"Quytech developed a mobile app for a food delivery company. The team built iOS and Android platforms that would allow customers to browse the menu, place orders, make payments, and track their delivery.",5,,Clutch
545,Alla McDowell,CEO,DataFusion Gmbh,Manufacturing,Switzerland,1-10 Employees,"Custom Software Development, E-Commerce Development, UX/UI Design","$10,000 to $49,999",Oct. 2021 - Ongoing,"ParallelDevs provides software development services for a clinical research firm. This involves creating a complex digital solution, incorporating custom features, and integrating them with existing systems.",5,,Clutch
546,Brad Levy,CEO,Symphony,Financial services,Norway,1-10 Employees,"Blockchain, Mobile App Development","$10,000 to $49,999",Feb. 2021 - Ongoing,Quytech has helped a financial technology firm develop a custom solution to streamline their business processes. The team has also built an intuitive mobile application to enhance customer engagement.,5,,Clutch
547,Marc Alexander Christ,Co-Founder,SumUp,Financial services,United Kingdom,"1,001-5,000 Employees",Custom Software Development,"$200,000 to $999,999",Jan. - June 2023,"A payment solutions company hired Quytech to develop a cloud-based SaaS product. The team worked on features such as interactive UI, advanced security features, software integration, and a scalability function.",5,,Clutch
548,Terence Ridder,CEO,Lizard Global,IT Services,Malaysia,11-50 Employees,"Executive Search, HR Consulting, Recruiting","$10,000 to $49,999",June 2021 - Ongoing,OnHires assists a software company in designing and developing custom apps. The team also helps the client implement digital transformation strategies and integrate cutting-edge technologies into their work.,5,,Clutch
549,Tim Beyer,President & CEO,Sana Commerce,Consulting,Netherlands,"501-1,000 Employees",Mobile App Development,"Less than $10,000",Jan. 2022 - Ongoing,"A business consultancy has hired Appquipo to develop a mobile app for their e-commerce platform. The platform allows end customers to place orders, track shipments, and manage their accounts.",5,,Clutch
550,Pourya Babalou,CEO,Leprince,"Arts, entertainment & music",United Kingdom,1-10 Employees,"Custom Software Development, Mobile App Development, Web Development","$10,000 to $49,999",Oct. - Dec. 2021,A cinema networking company hired Quytech to design and develop an iOS app and an Android app for connecting users and cinemas. The team was also tasked with building an admin panel.,1,,Clutch
551,Steve Tan,CEO,Gaming Company,Gaming,United Arab Emirates,51-200 Employees,"AR/VR Development, Custom Software Development","Less than $10,000",Dec. 2021 - Ongoing,"A gaming company hired Quy Technology to provide custom 3D and VR software. They've been designing, writing, and developing the client's role-playing game using Utility 3D, Unreal Engine, and OpenGL.",5,,Clutch
552,Antonio Pinese,CTO & Co-Founder,IntendiMe,Information technology,Italy,1-10 Employees,Mobile App Development,"$10,000 to $49,999",June - Nov. 2024,Probey Services developed a mobile app for a company that helps deaf individuals. The app was designed to capture signals from patches placed on sound sources and send real-time alerts to wrist devices.,5,,Clutch
553,Robbie Yin,IT Project Manager,ExxonMobil,Energy & natural resources,China,"10,001+ Employees",Custom Software Development,"$10,000 to $49,999",May - Dec. 2018,"Using provided documentation and requirements, Quytech created a proof of concept (POC) for an automated brand verification app.",4,,Clutch
554,Arthur Pakima,Founder & CEO,Pagedin,IT Services,United Kingdom,1-10 Employees,Mobile App Development,"$10,000 to $49,999",Mar. 2018 - Ongoing,"Quytech took the concept of a mobile calendar app through wireframe and prototype creation, and are currently developing a beta version for iOS mobile devices.",4.5,,Clutch
555,Marcel Noorden,Owner,aQuickCheck,Consumer products & services,Netherlands,1-10 Employees,"API Development, Mobile App Development, Web Development","Less than $10,000",Sep. 2023 - Mar. 2024,Quytech provided developed a websitea nd an app for an app service company. The team studied the errors in the client's solution and resolved them.,3.5,,Clutch
556,Joshua Wadley,Support Worker,ASC Healthcare,Healthcare,United Kingdom,51-200 Employees,"Mobile App Development, UX/UI Design","$10,000 to $49,999",Feb. - June 2024,Quytech developed a native iOS and Android mobile app for a healthcare company. The team designed the client's product and the app's UX/UI and developed a web-based panel for coaches and therapists.,5,,Clutch
557,Paul Murphy,Founder,3Advance,IT Services,District of Columbia,11-50 Employees,"AI Development, Custom Software Development, IT Managed Services","$50,000 to $199,999",May 2010 - Mar. 2023,"An app development company hired STS Software to provide cybersecurity services. The team helped the client strengthen their security architecture, handle incidents, and identify risks.",5,,Clutch
558,Yoan Ayari,Director,AI-integrated mobile app development,Beauty & Cosmetics,Australia,Online Review,Mobile App Development,Confidential,Aug. 2024 - Ongoing,Quytech has developed an appointment-booking mobile app for a cosmetics company. The team has also integrated AI features into the app.,5,,Clutch
559,May Mahboob,Co-Founder,MBD Financials,eCommerce,Singapore,11-50 Employees,"Blockchain, Custom Software Development, Web Development",Confidential,Nov. 2023 - Ongoing,Quytech is developing an e-commerce website for a Metaverse business solutions platform. The team is responsible for optimizing the site's UI to seamlessly transition Web2 users to the Web3 space.,5,,Clutch
560,Murad Rzayev,COO,Capitalist AZ LLC,Advertising & marketing,Azerbaijan,11-50 Employees,"Mobile App Development, UX/UI Design","$10,000 to $49,999",Oct. 2023 - Jan. 2024,"Quytech built a mobile app for Android and iOS for a social media monitoring tool. They handled the development and design of the app, including the implementation of key functionalities.",5,,Clutch
561,Christian Blank,Co-Founder & CEO,appsoluts,Software,Germany,11-50 Employees,Mobile App Development,"$10,000 to $49,999",Jan. - Aug. 2023,"Quytech developed an iOS application for an app solutions company. The team coordinated the development, defined the features, and promoted DevSecOps methods for the app.",5,,Clutch
562,Ben Bak,Co-Founder & CEO,LOVOO,Information technology,Germany,51-200 Employees,Mobile App Development,"$10,000 to $49,999",Jan. - Aug. 2023,Quytech was hired to develop new features for a mobile dating app. The team also implemented UI/UX enhancements to the app.,5,,Clutch
563,Savithiri Thangavelu,HR Manager,IIT Software,Information technology,United Kingdom,11-50 Employees,Other Marketing,"$10,000 to $49,999",Aug. 2022 - Feb. 2023,"Quytech developed and implemented an Amazon marketing strategy for an IT company. This included product listing optimization, sponsored advertising campaigns, and data analytics tools.",5,,Clutch
564,Florian Molnar,Junior Data Scientist & ML Engineer,Scandio GmbH,Information technology,Germany,51-200 Employees,"Mobile App Development, UX/UI Design, Web Development","Less than $10,000",Jan. 2023 - Ongoing,"A digital transformation company has hired Quytech to provide UI/UX design and web and mobile app development on cross-functional projects for end clients. The team works in microservices, IoT, and AI.",5,,Clutch
565,Benjamin Woehrl,CMO & Co-Founder,Conntac,Telecommunications,Germany,11-50 Employees,"Mobile App Development, Other Application Development","$50,000 to $199,999",Jan. - Aug. 2023,Intobi developed a Flutter mobile app for a telecommunication company's self-service apps. The client specified the functions and features they wanted with the goal of making the app easily accessible to users.,5,,Clutch
566,Philip Cherian,CEO,Multidisciplinary Co,Other Industry,Qatar,51-200 Employees,Mobile App Development,"Less than $10,000",Nov. 2019 - Ongoing,"Following requirements, Quytech works to build a mobile app to enable an on-demand service for a multi-disciplinary company.",4,,Clutch
567,Oksana Osipova,Product Manager,Castle Trust Bank,Financial services,United Kingdom,201-500 Employees,Custom Software Development,Confidential,Aug. 2024 - Ongoing,Accedia has developed a custom software solution for a financial services company. The team has worked on multiple of the client's projects.,5,,Clutch
568,Wessel Schillemans,Product Owner,Embrace - The Human Cloud,IT Services,Netherlands,51-200 Employees,"Cloud Consulting & SI, Custom Software Development",Confidential,Oct. 2020 - Ongoing,"Accedia has modernized the backend system of a cloud-based solutions provider's platform. They've rewritten the backend in .NET, built a new task module using React, integrated APIs, and set up automated tests.",5,,Clutch
569,Rob Gray,Head of Engineering,Vet-AI,Healthcare,United Kingdom,51-200 Employees,"Custom Software Development, Mobile App Development, Web Development","$200,000 to $999,999",Dec. 2023 - Ongoing,"Accedia has developed a mobile app for a veterinary care company. The team has built native iOS and Android apps, created a backend, and developed an internal web platform using Go, Angular, and Encore.",5,,Clutch
570,Georgi Pulev,CEO,KER Toki Power AD,Energy & natural resources,Bulgaria,51-200 Employees,"Custom Software Development, Other Application Development, UX/UI Design","$10,000 to $49,999",Sep. - Dec. 2024,Accedia redesigned an electricity trading company's web app and optimized their internal infrastructure. This included setting up a new flexible billing model and automating workflows for real-time accuracy.,5,,Clutch
571,Mihaelena Damianova,Business Development Manager,Astea Solutions,Software,Bulgaria,51-200 Employees,"Custom Software Development, IT Staff Augmentation",Confidential,Dec. 2020 - Ongoing,Accedia provides software development and QA services for a technology consulting firm. Their objective is to provide knowledge and experience that fits the client's technology requirements.,5,,Clutch
572,Mohamed Gamil,CEO & Co-Founder,dotConnect,Business services,United Kingdom,1-10 Employees,"Custom Software Development, IT Staff Augmentation, UX/UI Design",Confidential,Sep. 2020 - Aug. 2022,"Accedia provided development and UI/UX staff augmentation services for a digital banking startup. The team helped develop a custom SaaS product using technologies like C#, .NET, Microsoft Azure, and Angular.",4.5,,Clutch
573,Matey Mateev,CFO,Mobile Systems Ltd,IT Services,Bulgaria,51-200 Employees,Mobile App Development,"$50,000 to $199,999",Jan. 2018 - May 2020,Accedia provided mobile application development for a leading provider of mobile productivity and business applications. The team was hired to cover an end-to-end implementation of a native iOS application.,5,,Clutch
574,Tove Pettersson,Business Development Analyst,Thomas Concrete Group,Manufacturing,Sweden,"501-1,000 Employees",Custom Software Development,"$50,000 to $199,999",Apr. 2019 - Ongoing,Accedia handles app development services for a construction materials provider. They built the app for iOS and Android as well as developed push notification and fingerprint-signing functions.,5,,Clutch
575,Mika Rosslyn,Sourcing Director,siili_one Ltd,IT Services,Finland,"501-1,000 Employees",Custom Software Development,"$200,000 to $999,999",Sep. 2018 - Ongoing,"Accedia was hired by a software solutions firm to provide various solutions for clients, including sales and maintenance. The team also works on the firm's CRM and other platforms.",5,,Clutch
576,Maria Toycheva,Director of Products & Reader Revenue,Economedia,Publishing,Bulgaria,51-200 Employees,"Mobile App Development, UX/UI Design",Confidential,Sep. 2024 - Ongoing,"Accedia is rebuilding a media company's platform. The team is responsible for developing and designing multilingual mobile apps, improving sensitive data protection, and adding new features for user engagement.",5,,Clutch
577,Svetlin ILiev,Enterprise Architect,Andaria,Financial services,Malta,51-200 Employees,"API Development, BI & Big Data Consulting & SI, IT Staff Augmentation","$50,000 to $199,999",Jan. 2023 - Ongoing,Accedia offers staff augmentation and business intelligence (BI) consulting for a payment services provider. Accedia implements BI solutions using Databricks and Power BI and develops cloud-hosted microservices.,5,,Clutch
578,Sophie Stubbs,Operations Director,IT Solutions Company,IT Services,United Kingdom,11-50 Employees,"IT Staff Augmentation, UX/UI Design, Web Development",Confidential,Nov. 2024 - Jan. 2025,Digital Aptech provided staff augmentation services for an IT solutions company. They helped the client develop a custom quote system.,5,,Clutch
579,Shashikant Vanmore,Support Engineer,Technology Solutions Provider,Manufacturing,United Arab Emirates,11-50 Employees,"Custom Software Development, Product Design",Confidential,Dec. 2024 - Ongoing,"Digital Aptech has provided product development services for a technology solutions provider. The team has conducted market analysis, user needs assessment, and technology feasibility.",5,,Clutch
580,Kevin Hendrix,Online Content Manager,Motorcorner,Automotive,Netherlands,1-10 Employees,E-Commerce Development,Confidential,Jan. 2017 - Ongoing,Digital Aptech developed and enhanced a Magento 2 e-commerce platform for a motor company. The goal was to improve the overall user experience and functionality of the platform.,5,,Clutch
581,Anil Joseph,CEO,Digital Solutions Company,Software,Australia,11-50 Employees,Custom Software Development,"$50,000 to $199,999",Jan. - Nov. 2021,A digital solutions agency partnered with Digital Aptech to develop an online solution for a new bank in Australia offering retail banking services in India.,4.5,,Clutch
582,Edwin Ruzive,CTO,Digital Agency,Advertising & marketing,South Africa,51-200 Employees,Web Development,"$10,000 to $49,999",Jan. 2022 - Ongoing,"A digital agency partnered with Digital Aptech to build a website that will help users find properties for rentals, fill out the required forms online, and secure viewing of the said properties.",5,,Clutch
583,Paul Bilham,CRO,Data Clarity Limited,IT Services,United Kingdom,11-50 Employees,"Web Design, Web Development","$50,000 to $199,999",Oct. 2024 - May 2025,"Digital Aptech revamped the outdated website of a data solutions firm. They created a fresh, modern design and implemented clear, concise messaging that effectively conveyed the client's complex services.",5,,Clutch
584,Ethan Hompert,Designer,Formly,Education,France,1-10 Employees,"Mobile App Development, UX/UI Design",Confidential,Apr. - July 2025,A mobile app development company hired Digital Aptech to develop and design their app. The team was responsible for completing the app's frontend development and creating the functional logic for the backend.,1,,Clutch
